portfolio_id,return
PF00001001,0.027707841938998702
PF00001004,0.02843106212802838
PF00001009,0.02258115386111087
PF00001013,0.02817653871317996
PF00001014,0.023977924972391356
PF00001015,0.02688765162659203
PF00001017,0.023658895782224004
PF00001023,0.022345003071726897
PF00001024,0.027729949245347205
PF00001025,0.05550509947798048
PF00001028,0.02657877014744513
PF00001032,0.0234329249309952
PF00001036,0.022887392458632506
PF00001041,0.02605947976375373
PF00001045,0.02126469405282971
PF00001047,0.024725005729483503
PF00001049,0.028829727196166843
PF00001053,0.0564653239496629
PF00001060,0.02504506523821108
PF00001067,0.024283230830891935
PF00001068,0.026723986367003794
PF00001069,0.026419572133121252
PF00001077,0.0250588992869968
PF00001078,0.02693072187421589
PF00001085,0.02491755754930649
PF00001086,0.056583801342757895
PF00001087,0.025096981339358258
PF00001088,0.027222090973650585
PF00001092,0.024330139601348014
PF00001095,0.024874779479371445
PF00001099,0.026105970039338438
PF00001100,0.02768755399219618
PF00001104,0.023990080524094376
PF00001105,0.0308916367248611
PF00001107,0.02824510057575227
PF00001108,0.05656748574356658
PF00001112,0.028710668070562148
PF00001119,0.024835740238194216
PF00001123,0.025248944252785867
PF00001126,0.024196092741547284
PF00001132,0.027659559189324584
PF00001135,0.02340262832302435
PF00001145,0.0239282613785193
PF00001148,0.026300601909687332
PF00001153,0.02245510809884324
PF00001155,0.05579068578523802
PF00001161,0.023847650862624727
PF00001164,0.023309329768237384
PF00001165,0.023321238266537994
PF00001171,0.05570944793406413
PF00001178,0.024550186932820687
PF00001179,0.02959383488311253
PF00001180,0.058053799540633735
PF00001194,0.025455003143849585
PF00001199,0.02522754327310866
PF00001198,0.03380900088386009
PF00001203,0.024665317561617883
PF00001204,0.022357146628470756
PF00001209,0.05124331488960155
PF00001210,0.02429577437522143
PF00001218,0.025692244287762095
PF00001220,0.02576544183345935
PF00001223,0.025698468124638683
PF00001225,0.024661173284365803
PF00001227,0.031205299970073007
PF00001230,0.04911064403260562
PF00001233,0.026122317447656855
PF00001236,0.02488536616715435
PF00001238,0.024936254640323004
PF00001239,0.056071701493978124
PF00001241,0.0583526852997923
PF00001243,0.023083995555773576
PF00001244,0.032086438566683056
PF00001245,0.056269599600848985
PF00001253,0.025150669873708294
PF00001255,0.02272247113512043
PF00001258,0.024921973990822428
PF00001260,0.027825123416938404
PF00001262,0.025924642103066463
PF00001264,0.026046790778726105
PF00001265,0.02616352871666225
PF00001270,0.05596671738308741
PF00001274,0.02563029270237101
PF00001277,0.024477138207755506
PF00001282,0.02781686606292944
PF00001283,0.026287834708715055
PF00001285,0.025684174164227427
PF00001288,0.024333383461330974
PF00001290,0.023230573169169433
PF00001294,0.023074840144102025
PF00001296,0.024313388860459927
PF00001303,0.024882430864673004
PF00001305,0.02456987532867506
PF00001306,0.025271844456488612
PF00001309,0.026385981965143072
PF00001310,0.02700600605257606
PF00001312,0.025563834613479143
PF00001313,0.0555609891688018
PF00001316,0.025048128385348735
PF00001319,0.02517333563182422
PF00001324,0.026138445963182197
PF00001325,0.02472478072486372
PF00001331,0.025868453945861385
PF00001333,0.060132105817627304
PF00001334,0.025826865516517347
PF00001335,0.024800270036445412
PF00001340,0.025002045262169797
PF00001345,0.02502566321165323
PF00001348,0.05275740643065441
PF00001352,0.026809859568742697
